tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	Crime,Drama
tt0075148	movie	Rocky	Rocky	0	1976	\N	120	Drama,Sport
tt0075314	movie	Taxi Driver	Taxi Driver	0	1976	\N	114	Crime,Drama
tt0076759	movie	Star Wars	Star Wars	0	1977	\N	121	Action,Adventure,Fantasy
tt0078748	movie	Alien	Alien	0	1979	\N	117	Horror,Sci-Fi
tt0084787	movie	The Thing	The Thing	0	1982	\N	109	Horror,Mystery,Sci-Fi
tt0086190	movie	Star Wars: Episode VI - Return of the Jedi	Star Wars: Episode VI - Return of the Jedi	0	1983	\N	131	Action,Adventure,Fantasy
tt0086250	movie	Scarface	Scarface	0	1983	\N	170	Crime,Drama
tt0093870	movie	RoboCop	RoboCop	0	1987	\N	102	Action,Crime,Sci-Fi
tt0095016	movie	Die Hard	Die Hard	0	1988	\N	132	Action,Thriller
tt0099685	movie	Goodfellas	Goodfellas	0	1990	\N	145	Biography,Crime,Drama
tt0103064	movie	Terminator 2: Judgment Day	Terminator 2: Judgment Day	0	1991	\N	137	Action,Sci-Fi
tt0107290	movie	Jurassic Park	Jurassic Park	0	1993	\N	127	Action,Adventure,Sci-Fi
tt0110357	movie	The Lion King	The Lion King	0	1994	\N	88	Adventure,Animation,Drama
tt0110912	movie	Pulp Fiction	Pulp Fiction	0	1994	\N	154	Crime,Drama
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0	1994	\N	142	Drama
tt0114369	movie	Se7en	Se7en	0	1995	\N	127	Crime,Drama,Mystery
tt0114709	movie	Toy Story	Toy Story	0	1995	\N	81	Adventure,Animation,Comedy
tt0116282	movie	Fargo	Fargo	0	1996	\N	98	Crime,Thriller
tt0120382	movie	The Truman Show	The Truman Show	0	1998	\N	103	Comedy,Drama
tt0120689	movie	The Green Mile	The Green Mile	0	1999	\N	189	Crime,Drama,Fantasy
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi
tt0137523	movie	Fight Club	Fight Club	0	1999	\N	139	Drama
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama
tt0169547	movie	American Beauty	American Beauty	0	1999	\N	122	Drama
tt0208092	movie	Snatch	Snatch	0	2000	\N	104	Comedy,Crime
tt0211915	movie	Amélie	Le fabuleux destin d'Amélie Poulain	0	2001	\N	122	Comedy,Romance
tt0266697	movie	Kill Bill: Vol. 1	Kill Bill: Vol. 1	0	2003	\N	111	Action,Crime,Drama
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Crime,Drama
tt0405159	movie	Million Dollar Baby	Million Dollar Baby	0	2004	\N	132	Drama,Sport
tt0434409	movie	V for Vendetta	V for Vendetta	0	2006	\N	132	Action,Drama,Sci-Fi
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama
tt0477348	movie	No Country for Old Men	No Country for Old Men	0	2007	\N	122	Crime,Drama,Thriller
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi
tt1675434	movie	The Intouchables	Intouchables	0	2011	\N	112	Biography,Comedy,Drama
tt4154756	movie	Avengers: Infinity War	Avengers: Infinity War	0	2018	\N	149	Action,Adventure,Sci-Fi
tt4633694	movie	Spider-Man: Into the Spider-Verse	Spider-Man: Into the Spider-Verse	0	2018	\N	117	Action,Adventure,Animation
tt6966692	movie	Green Book	Green Book	0	2018	\N	130	Biography,Comedy,Drama
tt7286456	movie	Joker	Joker	0	2019	\N	122	Crime,Drama,Thriller
